"Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","males_occ_management","fem_occ_professional","fem_occ_management","num_occupants_crowded","phone_service"
"37101040100",825,246,507,295,620,1,22,308,2149,37,0,17,0,91261,3653763
"37101040201",1507,37,532,433,1085,0,32,360,2037,75,0,66,0,91261,3653763
"37101040202",656,149,234,192,943,0,9,285,1340,11,0,26,0,91261,3653763
"37101040203",812,59,883,540,861,0,41,744,1544,196,0,67,0,91261,3653763
"37101040301",652,207,427,357,737,593,64,225,2240,8,0,0,0,91261,3653763
"37101040302",1505,201,419,292,1169,342,71,489,2384,119,0,6,0,91261,3653763
"37101040400",448,65,356,252,604,110,64,193,1509,38,0,8,0,91261,3653763
"37101040500",543,114,453,398,942,12,73,596,2546,17,0,13,0,91261,3653763
"37101040600",926,121,365,232,595,48,6,269,1755,0,0,0,0,91261,3653763
"37101040700",912,182,202,120,648,51,49,189,1208,18,0,5,0,91261,3653763
"37101040800",889,90,387,327,539,167,42,228,1844,70,0,60,0,91261,3653763
"37101040901",2277,66,666,516,1250,7,93,563,2679,105,0,124,0,91261,3653763
"37101040902",1741,263,597,461,963,0,25,255,2439,41,0,14,0,91261,3653763
"37101041001",2369,66,606,357,667,101,101,566,2146,83,0,56,0,91261,3653763
"37101041002",1348,36,529,457,400,72,0,223,3198,144,0,136,0,91261,3653763
"37101041101",1337,160,567,357,334,0,0,274,1634,115,0,13,19,91261,3653763
"37101041102",1398,27,607,445,566,0,59,319,2250,160,0,92,0,91261,3653763
"37101041103",1715,25,415,306,164,0,22,438,1749,34,0,76,0,91261,3653763
"37101041201",470,79,228,185,619,70,32,97,1860,24,0,28,0,91261,3653763
"37101041202",408,176,256,174,1033,238,98,418,2509,0,0,18,0,91261,3653763
"37101041300",837,100,386,251,832,66,108,230,1355,49,0,7,0,91261,3653763
"37101041400",978,175,541,439,970,771,26,413,3104,31,0,49,0,91261,3653763
"37101041501",423,75,304,256,379,0,87,202,2130,16,0,43,0,91261,3653763
"37101041502",749,57,377,241,446,0,28,311,990,46,0,204,0,91261,3653763
"37101041503",192,126,334,231,969,3,46,573,2545,108,0,98,0,91261,3653763
"37061090100",388,169,577,445,2117,1378,14,445,2862,0,0,0,0,91261,3653763
"37061090200",896,127,280,191,819,436,27,184,1365,0,0,2,0,91261,3653763
"37061090300",2497,448,603,375,981,256,40,279,2574,8,0,2,0,91261,3653763
"37061090400",3345,114,524,450,1119,264,36,419,2201,0,0,0,0,91261,3653763
"37061090501",382,242,344,129,802,266,21,232,1542,17,0,36,0,91261,3653763
"37061090502",1283,144,349,336,667,21,76,265,998,0,0,0,0,91261,3653763
